edition_year,info,name,price,publisher,ratings
2009年11月,（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元,嫌疑人X的献身,19.80元,刘子倩,9.0
2007-9,艾米 / 江苏文艺出版社 / 2007-9 / 25.00元,山楂树之恋,25.00元,江苏文艺出版社,9.0
2011-1,唐七公子 / 现代出版社 / 2011-1 / 39.80元,华胥引（全二册）,39.80元,现代出版社,9.0
2002-2,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,地下铁,32.00元,辽宁教育出版社,9.0
2001-8,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元,且听风吟,11.80元,林少华,9.0
1996-10,[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元,钢铁是怎样炼成的,20.00元,曹缦西,9.0
1996-06,张爱玲 / 花城出版社 / 1996-06 / 12.80元,红玫瑰与白玫瑰,12.80元,花城出版社,9.0
2006-8,安意如 / 天津教育出版社 / 2006-8 / 23.80元,人生若只如初见,23.80元,天津教育出版社,9.0
2009年9月,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元,人间失格,16.00元,许时嘉,9.0
2006,天下霸唱 / 安徽文艺出版社 / 2006 / 25.0,鬼吹灯之精绝古城,25.0,安徽文艺出版社,9.0
1997-08,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00,安徒生童话故事集,25.00,叶君健,9.0
1973年3月,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元,呐喊,0.36元,人民文学出版社,9.0
2009-4,张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00,小团圆,28.00,北京十月文艺出版社,9.0
2006-3,明晓溪 / 新世界出版社 / 2006-3 / 20.00元,泡沫之夏,20.00元,新世界出版社,9.0
2005-5,明晓溪 / 新世界出版社 / 2005-5 / 20.00元,会有天使替我爱你,20.00元,新世界出版社,9.0
2010-4-1,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,1984,28.00,刘绍铭,9.0
2005-2,落落 / 春风文艺出版社 / 2005-2 / 20.00元,年华是无效信,20.00元,春风文艺出版社,9.0
2009年9月,〔日〕东野圭吾 / 李炜 / 南海出版公司 / 2009年9月 / 28.00元,幻夜,28.00元,李炜,9.0
2006-10,[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元,在路上,28.00元,王永年,9.0
1999-04,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,射雕英雄传（全四册）,47.00元,生活·读书·新知三联书店,9.0
2009-4,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,明朝那些事儿（1-9）,358.20元,中国海关出版社,9.0
2000-2-1,幾米 / 格林 / 2000-2-1 / NT$ 299,月亮忘記了,NT$ 299,格林,9.0
2007-4,当年明月 / 中国友谊出版公司 / 2007-4 / 24.80,明朝那些事儿（叁）,24.80,中国友谊出版公司,9.0
2003-6,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,哭泣的骆驼,15.80元,哈尔滨出版社,9.0
2007-10,辛夷坞 / 朝华出版社 / 2007-10 / 25.00元,原来你还在这里,25.00元,朝华出版社,9.0
2013-11-1,张嘉佳 / 湖南文艺出版社 / 2013-11-1 / CNY 39.80,从你的全世界路过,CNY 39.80,湖南文艺出版社,7.1
2007-5,郭敬明 / 长江文艺出版社 / 2007-5 / 24.00元,悲伤逆流成河,24.00元,长江文艺出版社,7.1
